date,crime_type,crime_count
2022-11-01T00:00:00Z,OTHER OFFENSE,1016
2022-11-01T00:00:00Z,BURGLARY,645
2022-11-01T00:00:00Z,BATTERY,3028
2022-11-01T00:00:00Z,CRIMINAL DAMAGE,2366
2022-11-01T00:00:00Z,THEFT,4556
2022-11-01T00:00:00Z,MOTOR VEHICLE THEFT,2849
2022-11-01T00:00:00Z,ASSAULT,1640
2022-11-01T00:00:00Z,NARCOTICS,345
2022-11-01T00:00:00Z,DECEPTIVE PRACTICE,1298
2022-11-01T00:00:00Z,ROBBERY,841
2022-10-01T00:00:00Z,THEFT,4953
2022-10-01T00:00:00Z,OTHER OFFENSE,1084
2022-10-01T00:00:00Z,BATTERY,3391
2022-10-01T00:00:00Z,CRIMINAL DAMAGE,2684
2022-10-01T00:00:00Z,ASSAULT,1752
2022-10-01T00:00:00Z,BURGLARY,652
2022-10-01T00:00:00Z,ROBBERY,918
2022-10-01T00:00:00Z,MOTOR VEHICLE THEFT,3027
2022-10-01T00:00:00Z,NARCOTICS,356
2022-10-01T00:00:00Z,DECEPTIVE PRACTICE,1405
2022-09-01T00:00:00Z,OTHER OFFENSE,1077
2022-09-01T00:00:00Z,MOTOR VEHICLE THEFT,2268
2022-09-01T00:00:00Z,BATTERY,3564
2022-09-01T00:00:00Z,CRIMINAL DAMAGE,2450
2022-09-01T00:00:00Z,ROBBERY,834
2022-09-01T00:00:00Z,THEFT,4799
2022-09-01T00:00:00Z,ASSAULT,1801
2022-09-01T00:00:00Z,NARCOTICS,376
2022-09-01T00:00:00Z,DECEPTIVE PRACTICE,1348
2022-09-01T00:00:00Z,BURGLARY,593
2022-08-01T00:00:00Z,BATTERY,3597
2022-08-01T00:00:00Z,MOTOR VEHICLE THEFT,1972
2022-08-01T00:00:00Z,BURGLARY,605
2022-08-01T00:00:00Z,THEFT,4948
2022-08-01T00:00:00Z,CRIMINAL DAMAGE,2525
2022-08-01T00:00:00Z,ROBBERY,722
2022-08-01T00:00:00Z,OTHER OFFENSE,1129
2022-08-01T00:00:00Z,ASSAULT,1893
2022-08-01T00:00:00Z,DECEPTIVE PRACTICE,1245
2022-08-01T00:00:00Z,NARCOTICS,413
2022-07-01T00:00:00Z,BURGLARY,654
2022-07-01T00:00:00Z,MOTOR VEHICLE THEFT,1673
2022-07-01T00:00:00Z,ASSAULT,1883
2022-07-01T00:00:00Z,THEFT,5404
2022-07-01T00:00:00Z,CRIMINAL DAMAGE,2458
2022-07-01T00:00:00Z,DECEPTIVE PRACTICE,1140
2022-07-01T00:00:00Z,BATTERY,3626
2022-07-01T00:00:00Z,OTHER OFFENSE,1217
2022-07-01T00:00:00Z,NARCOTICS,361
2022-07-01T00:00:00Z,ROBBERY,737
2022-06-01T00:00:00Z,ROBBERY,713
2022-06-01T00:00:00Z,CRIMINAL DAMAGE,2205
2022-06-01T00:00:00Z,MOTOR VEHICLE THEFT,1102
2022-06-01T00:00:00Z,BATTERY,3725
2022-06-01T00:00:00Z,OTHER OFFENSE,1237
2022-06-01T00:00:00Z,ASSAULT,1957
2022-06-01T00:00:00Z,THEFT,4770
2022-06-01T00:00:00Z,BURGLARY,618
2022-06-01T00:00:00Z,DECEPTIVE PRACTICE,1178
2022-06-01T00:00:00Z,NARCOTICS,383
2022-05-01T00:00:00Z,OTHER OFFENSE,1276
2022-05-01T00:00:00Z,BATTERY,3814
2022-05-01T00:00:00Z,CRIMINAL DAMAGE,2099
2022-05-01T00:00:00Z,ASSAULT,1925
2022-05-01T00:00:00Z,THEFT,4273
2022-05-01T00:00:00Z,MOTOR VEHICLE THEFT,980
2022-05-01T00:00:00Z,DECEPTIVE PRACTICE,1152
2022-05-01T00:00:00Z,BURGLARY,560
2022-05-01T00:00:00Z,NARCOTICS,401
2022-05-01T00:00:00Z,ROBBERY,656
2022-04-01T00:00:00Z,BURGLARY,526
2022-04-01T00:00:00Z,CRIMINAL DAMAGE,1926
2022-04-01T00:00:00Z,THEFT,3771
2022-04-01T00:00:00Z,ASSAULT,1518
